,Unnamed: 0,rest company,rest company industry
985,985,3838,サービス業
986,986,9988,9988
987,987,1797,1797
988,988,1796,1796
989,989,7944,その他製品
990,990,1804,1804
991,991,1805,建設業
992,992,1809,1809
993,993,1810,建設業
994,994,1811,建設業
995,995,5908,5908
996,996,1813,1813
997,997,5910,5910
998,998,3862,3862
999,999,1816,建設業
1000,1000,1814,建設業
1001,1001,1817,1817
1002,1002,1819,1819
1003,1003,3868,3868
1004,1004,3869,3869
1005,1005,3870,3870
1006,1006,1823,1823
1007,1007,5917,金属製品
1008,1008,1825,1825
1009,1009,3867,3867
1010,1010,1826,1826
1011,1011,3876,3876
1012,1012,5925,5925
1013,1013,5926,5926
1014,1014,3871,3871
1015,1015,1832,建設業
1016,1016,7977,7977
1017,1017,3882,3882
1018,1018,3883,3883
1019,1019,5931,5931
1020,1020,3885,3885
1021,1021,7982,7982
1022,1022,3887,3887
1023,1023,5934,非鉄金属
1024,1024,3886,3886
1025,1025,3881,3881
1026,1026,1838,1838
1027,1027,1842,1842
1028,1028,1843,1843
1029,1029,1846,建設業
1030,1030,3889,3889
1031,1031,5944,5944
1032,1032,7993,その他製品
1033,1033,1847,建設業
1034,1034,1849,1849
1035,1035,7996,7996
1036,1036,1852,建設業
1037,1037,7998,7998
1038,1038,1854,1854
1039,1039,1850,1850
1040,1040,1857,1857
1041,1041,1858,1858
1042,1042,5954,金属製品
1043,1043,1859,1859
1044,1044,8003,8003
1045,1045,8004,8004
1046,1046,1863,1863
1047,1047,1864,1864
1048,1048,8009,8009
1049,1049,8010,8010
1050,1050,5963,機械
1051,1051,1866,建設業
1052,1052,1869,建設業
1053,1053,1870,1870
1054,1054,1871,建設業
1055,1055,1867,1867
1056,1056,8017,8017
1057,1057,1872,1872
1058,1058,8019,8019
1059,1059,5972,5972
1060,1060,8021,8021
1061,1061,1875,建設業
1062,1062,1877,1877
1063,1063,8024,8024
1064,1064,5977,5977
1065,1065,1882,1882
1066,1066,8026,8026
1067,1067,8027,卸売業
1068,1068,1880,1880
1069,1069,1886,1886
1070,1070,1887,建設業
1071,1071,1888,1888
1072,1072,1889,1889
1073,1073,8033,8033
1074,1074,1891,1891
1075,1075,1892,1892
1076,1076,8034,8034
1077,1077,3942,3942
1078,1078,1895,建設業
1079,1079,1896,1896
1080,1080,1897,1897
1081,1081,8042,卸売業
1082,1082,5995,5995
1083,1083,5996,金属製品
1084,1084,1898,建設業
1085,1085,3949,3949
1086,1086,1900,1900
1087,1087,8048,8048
1088,1088,1907,建設業
1089,1089,8054,8054
1090,1090,8055,8055
1091,1091,1912,1912
1092,1092,1914,1914
1093,1093,6011,6011
1094,1094,1917,1917
1095,1095,1918,1918
1096,1096,8063,8063
1097,1097,8064,8064
1098,1098,1921,1921
1099,1099,1922,1922
1100,1100,3971,パルプ・紙
1101,1101,6020,6020
1102,1102,6021,6021
1103,1103,8069,8069
1104,1104,1924,建設業
1105,1105,1923,1923
1106,1106,1920,1920
1107,1107,1929,建設業
1108,1108,1931,1931
1109,1109,1932,1932
1110,1110,1930,建設業
1111,1111,1927,1927
1112,1112,1935,建設業
1113,1113,8080,小売業
1114,1114,1936,建設業
1115,1115,1938,1938
1116,1116,1939,1939
1117,1117,8083,8083
1118,1118,1937,1937
1119,1119,8082,8082
1120,1120,1943,建設業
1121,1121,1940,建設業
1122,1122,6041,6041
1123,1123,1947,1947
1124,1124,1948,1948
1125,1125,8092,情報・通信業
1126,1126,8094,8094
1127,1127,1952,建設業
1128,1128,4001,4001
1129,1129,4002,4002
1130,1130,4003,4003
1131,1131,8099,8099
1132,1132,1957,1957
1133,1133,1958,1958
1134,1134,4007,4007
1135,1135,1955,建設業
1136,1136,1956,建設業
1137,1137,4010,4010
1138,1138,1960,建設業
1139,1139,1964,建設業
1140,1140,1962,1962
1141,1141,8102,8102
1142,1142,1967,1967
1143,1143,8110,卸売業
1144,1144,8112,卸売業
1145,1145,1970,建設業
1146,1146,1966,1966
1147,1147,1972,建設業
1148,1148,8116,8116
1149,1149,1974,1974
